Index,DOI
156,https://doi.org/10.1021/bi00100a014
163,https://doi.org/10.1016/s0167-4781(97)00194-2
186,https://doi.org/10.1128/iai.42.1.10-14.1983
187,https://doi.org/10.1128/iai.42.1.10-14.1983
205,https://doi.org/10.3181/00379727-60-15091.
309,https://doi.org/10.1111/j.1432-1033.1996.0325z.x
336,https://doi.org/10.1371/journal.ppat.1000698
406,https://doi.org/10.1016/j.cbpc.2009.12.004
472,https://doi.org/10.1038/35104690
550,https://doi.org/10.1016/0167-7799(96)80922-X
558,https://doi.org/10.1016/j.peptides.2003.11.014
681,https://doi.org/10.1016/s0378-1119(97)00569-6
725,https://doi.org/10.1016/j.ijantimicag.2009.11.017.
737,https://doi.org/10.1016/0014-5793(96)00050-6
738,https://doi.org/10.1155/2018/8158453
795,https://doi.org/10.1074/jbc.M110.216358
796,https://doi.org/10.1016/s0167-4889(97)00132-8
997,https://doi.org/10.1007/s12602-015-9196-4
998,https://doi.org/10.1007/s13659-014-0037-z
1169,https://doi.org/10.1128/aem.59.7.2326-2328.1993
1269,https://doi.org/10.1038/ni732
1463,https://doi.org/10.1016/j.bbrc.2009.07.043
1643,https://doi.org/10.1002/psc.1309
1644,https://doi.org/10.1002/psc.1309
1748,https://doi.org/10.1111/j.1742-4658.2011.08080.x
1749,https://doi.org/10.1111/j.1742-4658.2011.08080.x
1797,https://doi.org/10.1111/j.1365-2583.2011.01107.x
1803,https://doi.org/10.1111/j.1742-4658.2011.08361.x
1804,https://doi.org/10.1002/jcb.23343
1898,https://doi.org/10.1002/psc.1409
1899,https://doi.org/10.1002/psc.1409
1972,https://doi.org/10.1002/psc.1370
1997,https://doi.org/10.1016/j.peptides.2012.07.005
1998,https://doi.org/10.1016/j.peptides.2012.07.005
1999,https://doi.org/10.1016/j.peptides.2012.07.005
2000,https://doi.org/10.1016/j.peptides.2012.07.005
2001,https://doi.org/10.1016/j.peptides.2012.07.005
2002,https://doi.org/10.1016/j.peptides.2012.07.005
2003,https://doi.org/10.1016/j.peptides.2012.07.005
2016,https://doi.org/10.1038/jid.2012.254
2030,https://doi.org/10.1016/j.pep.2012.08.006
2037,https://doi.org/10.1038/ja.2011.120
2041,https://doi.org/10.1016/j.peptides.2012.08.009
2047,https://doi.org/10.1016/j.gene.2012.08.013
2050,https://doi.org/10.1016/j.peptides.2012.08.009
2053,https://doi.org/10.1016/j.peptides.2012.08.008
2054,https://doi.org/10.1016/j.peptides.2012.08.008
2055,https://doi.org/10.1016/j.peptides.2012.08.008
2056,https://doi.org/10.1016/j.peptides.2012.08.008
2057,https://doi.org/10.1016/j.peptides.2012.08.008
2058,https://doi.org/10.1016/j.peptides.2012.08.008
2059,https://doi.org/10.1016/j.peptides.2012.08.008
2060,https://doi.org/10.1016/j.peptides.2012.08.008
2061,https://doi.org/10.1016/j.peptides.2012.08.008
2062,https://doi.org/10.1016/j.peptides.2012.08.008
2063,https://doi.org/10.1016/j.peptides.2012.08.008
2138,https://doi.org/10.1021/ja305644e
2224,https://doi.org/10.1016/j.fsi.2013.04.049
2239,https://doi.org/10.1603/ME12208.
2305,https://doi.org/10.1111/febs.12521
2306,https://doi.org/10.1111/febs.12521
2338,https://doi.org/10.1016/j.peptides.2014.01.012
2340,https://doi.org/10.3390/ijms14024349
2342,https://doi.org/10.1371/journal.pone.0047642
2345,https://doi.org/10.1016/j.anaerobe.2014.02.002
2347,https://doi.org/10.1128/AEM.03751-13
2348,https://doi.org/10.1128/AEM.03751-13
2349,https://doi.org/10.1128/JB.00015-14
2359,https://doi.org/10.1016/j.celrep.2014.03.012
2360,https://doi.org/10.1016/j.celrep.2014.03.012
2371,https://doi.org/10.1002/cbic.201300778
2372,https://doi.org/10.1016/j.febslet.2014.03.044
2373,https://doi.org/10.1016/j.peptides.2014.03.020
2374,https://doi.org/10.1016/j.peptides.2014.03.020
2375,https://doi.org/10.1016/j.chembiol.2014.01.014
2376,https://doi.org/10.1111/febs.12349
2377,https://doi.org/10.3390/md12020871
2378,https://doi.org/10.3390/md12020871
2379,https://doi.org/10.3390/md12020871
2380,https://doi.org/10.1021/ol403657r
2381,https://doi.org/10.1021/ol403657r
2382,https://doi.org/10.1021/ol403657r
2383,https://doi.org/10.1016/j.bbrc.2008.10.102
2384,https://doi.org/10.1021/np4009317
2385,https://doi.org/10.1021/np4009317
2386,https://doi.org/10.1021/np4009317
2388,https://doi.org/10.1002/psc.2584
2389,https://doi.org/10.1002/psc.2584
2390,https://doi.org/10.1002/psc.2584
2391,https://doi.org/10.1002/psc.2584
2392,https://doi.org/10.1002/psc.2584
2393,https://doi.org/10.1111/j.1574-6968.2009.01749.x
2395,https://doi.org/10.1128/JB.01474-14
2396,https://doi.org/10.1128/AEM.04259-13
2397,https://doi.org/10.1186/1297-9716-45-40
2398,https://doi.org/10.1371/journal.pone.0096222
2401,https://doi.org/10.1128/AEM.00830-13
2402,https://doi.org/10.1371/journal.pone.0097539
2405,https://doi.org/10.7541/2014.79
2406,https://doi.org/10.1155/2014/156060
2409,https://doi.org/10.1016/j.micres.2014.04.005
2411,https://doi.org/10.1111/j.1582-4934.2008.00129.x
2412,https://doi.org/10.2108/zs140014
2413,https://doi.org/10.2108/zs140014
2414,https://doi.org/10.2108/zs140014
2415,https://doi.org/10.2108/zs140014
2417,https://doi.org/10.1016/j.foodchem.2014.05.034
2418,https://doi.org/10.1111/cbdd.12396
2419,https://doi.org/10.1007/s00726-013-1655-1
2420,https://doi.org/10.1007/s00726-013-1655-1
2424,https://doi.org/10.1038/ki.2014.268
2425,https://doi.org/10.1038/ki.2014.268
2428,https://doi.org/10.1371/journal.pone.0105549
2430,https://doi.org/10.1155/2014/968487
2431,https://doi.org/10.1186/s12866-014-0226-2
2432,https://doi.org/10.1016/j.ijfoodmicro.2013.12.019
2433,https://doi.org/10.1016/j.fsi.2014.09.019
2436,https://doi.org/10.1016/j.bbamem.2014.02.003
2440,https://doi.org/10.1186/s13568-014-0050-y
2636,https://doi.org/10.1038/srep18355
2651,https://doi.org/10.1186/s40409-016-0058-7
2778,https://doi.org/10.1039/c5ob00780a
2779,https://doi.org/10.3390/toxins9010022
2780,https://doi.org/10.3390/toxins9010022
2781,https://doi.org/10.3390/toxins9010022
2782,https://doi.org/10.3390/toxins9010022
2783,https://doi.org/10.3390/toxins9010022
2802,https://doi.org/10.1002/psc.2990
2823,https://doi.org/10.1002/arch.21381
2824,https://doi.org/10.1002/arch.21381
2830,https://doi.org/10.1002/1873-3468.12648
2846,https://doi.org/10.1016/j.fsi.2017.04.011
2847,https://doi.org/10.1016/j.fsi.2017.04.011
2848,https://doi.org/10.1016/j.fsi.2017.04.011
2849,https://doi.org/10.1099/mic.0.000316
2850,https://doi.org/10.1016/j.bbrc.2016.08.052.
2851,https://doi.org/10.1016/j.peptides.2016.07.005
2852,https://doi.org/10.1016/j.peptides.2016.07.005
2853,https://doi.org/10.1016/j.dci.2017.05.003
2855,https://doi.org/10.1073/pnas.2005540117
2856,https://doi.org/10.1016/j.msec.2016.04.021
2857,https://doi.org/10.1016/j.chembiol.2008.11.006
2859,https://doi.org/10.1016/j.peptides.2012.05.017
2861,https://doi.org/10.1016/j.peptides.2012.01.013
2862,https://doi.org/10.1155/2012/764834
2863,https://doi.org/10.2147/IDR.S166236
2866,https://doi.org/10.3390/toxins8090255
2867,https://doi.org/10.1038/nchembio.1710
2868,https://doi.org/10.1016/j.chembiol.2008.11.006
2870,https://doi.org/10.1016/j.chembiol.2008.11.006
2872,https://doi.org/10.1038/nchembio.2207
2873,https://doi.org/10.1038/nchembio.2207
2874,https://doi.org/10.1126/scitranslmed.aan4044
2877,https://doi.org/10.1111/jam.13286
2878,https://doi.org/10.1111/jam.13286
2879,https://doi.org/10.1186/s40409-017-0119-6
2880,https://doi.org/10.1186/s40409-017-0119-6
2881,https://doi.org/10.1016/j.toxicon.2008.12.011
2882,https://doi.org/10.1002/psc.2681
2885,https://doi.org/10.1186/s13568-017-0409-y
2886,https://doi.org/10.2436/20.1501.01.284
2887,https://doi.org/10.1002/psc.1246
2888,https://doi.org/10.1002/psc.1246
2890,https://doi.org/10.1080/14786419.2017.1346646
2891,https://doi.org/10.1002/psc.3025
2892,https://doi.org/10.1002/psc.3025
2893,https://doi.org/10.1016/j.bbrc.2017.06.112.
2894,https://doi.org/10.1186/s13568-017-0430-1
2895,https://doi.org/10.1016/j.fsi.2017.08.006
2896,https://doi.org/10.1016/j.dci.2017.08.002
2897,https://doi.org/10.1042/BCJ20170334
2898,https://doi.org/10.1042/BCJ20170334
2899,https://doi.org/10.1042/BCJ20170334
2900,https://doi.org/10.1007/s00726-017-2449-7
2901,https://doi.org/10.1128/AEM.01519-17
2902,https://doi.org/10.4268/cjcmm20160414
2904,https://doi.org/10.1016/j.ijantimicag.2017.08.030
2905,https://doi.org/10.3390/md15080261
2906,https://doi.org/10.3390/md15080261
2907,https://doi.org/10.3390/md15080261
2908,https://doi.org/10.3390/md15080261
2909,https://doi.org/10.3390/md15080261
2910,https://doi.org/10.3390/md15080261
2911,https://doi.org/10.1186/s13071-017-2397-9
2913,https://doi.org/10.3389/fmicb.2017.00774
2914,https://doi.org/10.1016/j.fsi.2017.09.059
2915,https://doi.org/10.1016/j.fsi.2017.09.059
2916,https://doi.org/10.1128/AEM.01801-17
2917,https://doi.org/10.3390/md15110364
2918,https://doi.org/10.3390/molecules22111896.
2919,https://doi.org/10.1007/s00726-017-2509-z
2920,https://doi.org/10.1007/s00726-017-2509-z
2921,https://doi.org/10.1016/j.ijantimicag.2017.02.013
2922,https://doi.org/10.1111/lam.12823
2923,https://doi.org/10.3390/molecules22101805
2924,https://doi.org/10.1016/j.ijantimicag.2017.06.025
2925,https://doi.org/10.1016/j.ijantimicag.2016.12.012
2926,https://doi.org/10.1038/srep41772
2928,https://doi.org/10.1038/s41522-017-0042-1
2929,https://doi.org/10.1038/s41522-017-0042-1
2930,https://doi.org/10.1038/s41522-017-0042-1
2931,https://doi.org/10.1038/s41522-017-0042-1
2932,https://doi.org/10.1038/s41522-017-0042-1
2933,https://doi.org/10.1038/s41522-017-0042-1
2934,https://doi.org/10.1038/s41522-017-0042-1
2935,https://doi.org/10.1038/s41522-017-0042-1
2936,https://doi.org/10.1038/s41522-017-0042-1
2937,https://doi.org/10.1038/s41522-017-0042-1
2938,https://doi.org/10.1038/s41522-017-0042-1
2939,https://doi.org/10.1038/s41522-017-0042-1
2940,https://doi.org/10.1038/s41522-017-0042-1
2941,https://doi.org/10.1038/s41522-017-0042-1
2942,https://doi.org/10.1038/s41522-017-0042-1
2943,https://doi.org/10.1038/s41522-017-0042-1
2944,https://doi.org/10.1038/s41522-017-0042-1
2945,https://doi.org/10.1038/s41522-017-0042-1
2946,https://doi.org/10.1038/s41522-017-0042-1
2947,https://doi.org/10.1038/s41522-017-0042-1
2948,https://doi.org/10.1038/s41522-017-0042-1
2949,https://doi.org/10.1038/s41522-017-0042-1
2950,https://doi.org/10.1038/s41522-017-0042-1
2951,https://doi.org/10.1038/s41522-017-0042-1
2952,https://doi.org/10.1038/s41522-017-0042-1
2957,https://doi.org/10.18632/oncotarget.22797
2958,https://doi.org/10.1021/acs.jnatprod.7b00780
2959,https://doi.org/10.1021/acs.jnatprod.7b00780
2960,https://doi.org/10.1021/acs.jnatprod.7b00780
2961,https://doi.org/10.1016/j.chembiol.2018.02.004
